basepath,xsection_pb,n_events
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHIm__cHWB_p1_p1_ecm240,0.003351513026102463,9647.899
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHIm__cHWBtil_p1_p1_ecm240,0.003352049751262738,9637.685
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHIm__cHW_p1_p1_ecm240,0.003351735629416103,9655.683
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHIm__cHWtil_p1_p1_ecm240,0.003351744230212281,9690.728
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHIm_m1_ecm240,0.003351849508259051,9753.927
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHIm_p1_ecm240,0.0033515248747026756,9653.959
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHRe__cHB_p1_p1_ecm240,0.002946569717389976,9694.676
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHRe__cHBtil_p1_p1_ecm240,0.002946818729750891,9559.544
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHRe__cHWB_p1_p1_ecm240,0.002946363420165768,9702.662
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHRe__cHWBtil_p1_p1_ecm240,0.0029469912448916082,9661.976
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHRe__cHW_p1_p1_ecm240,0.0029469086166600835,9655.78
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHRe__cHWtil_p1_p1_ecm240,0.0029467652328699885,9593.042
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHRe__ceHIm_p1_p1_ecm240,0.002958768035846184,9673.742
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHRe_m1_ecm240,0.0037567698218019313,9632.49
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHRe_p1_ecm240,0.0029467886619852653,9662.069
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_sm_ecm240,0.003334498557524032,999.6202
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_sm_ecm240-highStat,0.003339053594051296,9625.331
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHIm_m1_ecm240,0.003351849508259051,9753.927
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHIm_p1_ecm240,0.0033515248747026756,9653.959
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHRe__ceHIm_p1_p1_ecm240,0.002958768035846184,9673.742
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHRe_m1_ecm240,0.0037567698218019313,9632.49
/eos/experiment/fcc/ee/analyses_storage/Higgs_and_TOP/HiggsTauTau/ecm240/MCgenCP/lhe/NovCampaign/mg_ee_fftata_ceHRe_p1_ecm240,0.0029467886619852653,9662.069
